2D signal (scaled to L and XS), Muon channel, low edge of bin values given for x and y axes
Mass (GeV), Disc, nEvent
134.0, 0.0622, 0.000628722953886
134.0, 0.0667, 0.000607198945755
134.0, 0.0711, 0.0
134.0, 0.0756, 0.00113718774674
134.0, 0.08, 0.0
134.0, 0.0844, 0.0
134.0, 0.0889, 0.000632042897391
134.0, 0.0933, 0.0
134.0, 0.0978, 0.0
134.0, 0.102, 0.0
134.0, 0.107, 0.0
134.0, 0.111, 0.0
134.0, 0.116, 0.0
134.0, 0.12, 0.0
134.0, 0.124, 0.0
134.0, 0.129, 0.000106510209873
134.0, 0.133, 0.0
134.0, 0.138, 0.0
134.0, 0.142, 0.0
134.0, 0.147, 0.000570784817418
134.0, 0.151, 0.0
134.0, 0.156, 0.0
134.0, 0.16, 0.0
134.0, 0.164, 0.0
134.0, 0.169, 0.0
134.0, 0.173, 0.0
134.0, 0.178, 0.0
134.0, 0.182, 0.0
134.0, 0.187, 0.0
134.0, 0.191, 0.0
134.0, 0.196, 0.0
136.0, 0.0, 0.0
136.0, 0.00444, 0.00163887683897
136.0, 0.00889, 0.0
136.0, 0.0133, 0.000623361972469
136.0, 0.0178, 0.0
136.0, 0.0222, 0.0
136.0, 0.0267, 0.0
136.0, 0.0311, 0.0
136.0, 0.0356, 0.0
136.0, 0.04, 0.000499455515629
136.0, 0.0444, 0.0
136.0, 0.0489, 0.0
136.0, 0.0533, 0.0
136.0, 0.0578, 0.0
136.0, 0.0622, 0.0
136.0, 0.0667, 0.0
136.0, 0.0711, 0.0
136.0, 0.0756, 0.0
136.0, 0.08, 0.0
136.0, 0.0844, 0.0
136.0, 0.0889, 0.0
136.0, 0.0933, 0.0
136.0, 0.0978, 0.0
136.0, 0.102, 0.0
136.0, 0.107, 0.0
136.0, 0.111, 0.0
136.0, 0.116, 0.0
136.0, 0.12, 0.0
136.0, 0.124, 0.0
136.0, 0.129, 0.0
136.0, 0.133, 0.0
136.0, 0.138, 0.0
136.0, 0.142, 0.0
136.0, 0.147, 0.0
136.0, 0.151, 0.0
136.0, 0.156, 0.0
136.0, 0.16, 0.0
136.0, 0.164, 0.0
136.0, 0.169, 0.0
136.0, 0.173, 0.0
136.0, 0.178, 0.0
136.0, 0.182, 0.0
136.0, 0.187, 0.0
136.0, 0.191, 0.0
136.0, 0.196, 0.0
138.0, 0.0, 0.0
138.0, 0.00444, 0.0
138.0, 0.00889, 0.0
138.0, 0.0133, 0.0
138.0, 0.0178, 0.0
138.0, 0.0222, 0.0
138.0, 0.0267, 0.0
138.0, 0.0311, 0.0
138.0, 0.0356, 0.0
138.0, 0.04, 0.0
138.0, 0.0444, 0.0
